
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 14_1 

                0.                 3.         
              500.E-03             3.02578    
                1.                 3.05056    
                1.                 3.05056    
                1.25               2.99501    
                1.5                2.93951    
                1.75               2.88434    
                2.                 2.82987    
                2.25               2.77647    
                2.5                2.72454    
                2.75               2.67443    
                3.                 2.62642    
                3.25               2.58076    
                3.5                2.53759    
                3.75               2.49701    
                4.                 2.45906    




