
                             COORD:COOR3 PI: P
                  X            ART-1-1 N: 14  

                0.                 3.         
              500.E-03             3.01475    
                1.                 3.02816    
                1.                 3.02816    
                1.25               2.94414    
                1.5                2.86728    
                1.75               2.79716    
                2.                 2.73315    
                2.25               2.67465    
                2.5                2.62114    
                2.75               2.57215    
                3.                 2.52728    
                3.25               2.48619    
                3.5                2.44859    
                3.75               2.41422    
                4.                 2.38284    




