
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 14_3 

                0.                 3.         
              500.E-03             3.02685    
                1.                 3.05142    
                1.                 3.05142    
                1.25               2.99391    
                1.5                2.93602    
                1.75               2.87816    
                2.                 2.82082    
                2.25               2.76454    
                2.5                2.70987    
                2.75               2.65734    
                3.                 2.60741    
                3.25               2.56045    
                3.5                2.5167     
                3.75               2.47631    
                4.                 2.43931    




