
                             COORD:COOR3 PI: P
                  X            ART-1-1 N: 14  

                0.                 3.         
              500.E-03             3.01432    
                1.                 3.02654    
                1.                 3.02654    
                1.25               2.94224    
                1.5                2.86526    
                1.75               2.79503    
                2.                 2.73095    
                2.25               2.67242    
                2.5                2.6189     
                2.75               2.56994    
                3.                 2.52511    
                3.25               2.48408    
                3.5                2.44655    
                3.75               2.41226    
                4.                 2.38095    




