
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 17_4 

                0.                 1.         
              500.E-03             1.02784    
                1.                 1.0545     
                1.                 1.0545     
                1.25             997.485E-03  
                1.5              940.053E-03  
                1.75             882.674E-03  
                2.               825.856E-03  
                2.25             770.124E-03  
                2.5              715.992E-03  
                2.75             663.935E-03  
                3.               614.368E-03  
                3.25             567.612E-03  
                3.5              523.945E-03  
                3.75             483.509E-03  
                4.               446.362E-03  




