
                             COORD:COOR3 PI: P
                  X            ART-1-1 N: 17  

                0.                 1.         
              500.E-03             1.02821    
                1.                 1.05482    
                1.                 1.05482    
                1.25             987.511E-03  
                1.5              920.465E-03  
                1.75             854.305E-03  
                2.               789.644E-03  
                2.25             727.044E-03  
                2.5              666.985E-03  
                2.75             609.849E-03  
                3.               555.912E-03  
                3.25             505.347E-03  
                3.5              458.23E-03   
                3.75             414.555E-03  
                4.               374.246E-03  




