
                             FromFieldDataUVAR
                             M18atpartinstance
                             PART-1-1element10
                  X             8090centroid  

                0.                 0.         
              100.E-03            11.679E-36  
              200.E-03            46.7159E-36 
              300.E-03           105.111E-36  
              400.E-03           186.864E-36  
              500.E-03           291.974E-36  
              600.E-03           420.443E-36  
              700.E-03           572.27E-36   
              800.E-03           747.454E-36  
              900.E-03           945.997E-36  
                1.                 1.1679E-33 
                1.                 1.1679E-33 
                1.00625            9.28532    
                1.0125            12.8488     
                1.01875           15.2834     
                1.025             17.761      
                1.03437           21.1092     
                1.04844           24.3425     
                1.06953           25.1659     
                1.07151           25.297      
                1.07225           25.3336     
                1.07336           25.7288     
                1.07378           25.8628     
                1.07441           26.3933     
                1.07464           26.5837     
                1.07499           27.1825     
                1.07512           27.3951     
                1.07532           27.8064     
                1.07562           29.4868     
                1.07573           30.4261     
                1.07577           30.7422     
                1.07583           31.4303     
                1.07593           33.0113     
                1.07596           33.7558     
                1.07602           35.3059     
                1.07604           35.884      
                1.07607           36.5368     
                1.0761            37.8287     
                1.07613           40.1217     
                1.07617           44.2911     
                1.07624           49.2307     
                1.07634           53.212      
                1.07649           55.3541     
                1.07671           55.9215     
                1.07705           55.5947     
                1.07756           54.9006     
                1.07832           54.1561     
                1.07947           53.5591     
                1.08118           53.2104     
                1.08375           52.5684     
                1.08761           52.7019     
                1.09339           52.5821     
                1.10207           51.5688     
                1.11509           48.4045     
                1.13462           41.2912     
                1.16391           23.5676     
                1.20785          -15.8413     
                1.27376          -99.5247     
                1.37262         -269.531      
                1.47262         -483.152      
                1.57262         -729.396      
                1.67262           -1.00212E+03
                1.77262           -1.29818E+03
                1.87262           -1.62707E+03
                1.87887           -1.65049E+03
                1.88824           -1.68879E+03
                1.89176           -1.70544E+03
                1.89308           -1.71175E+03
                1.89505           -1.72438E+03
                1.8958            -1.72912E+03
                1.89691           -1.74023E+03
                1.89733           -1.7453E+03 
                1.89795           -1.75787E+03
                1.89889           -1.78747E+03
                1.89983           -1.81068E+03
                1.90077           -1.81897E+03
                1.90217           -1.82405E+03
                1.90429           -1.82957E+03
                1.90745           -1.83784E+03
                1.91221           -1.84916E+03
                1.91933           -1.86668E+03
                1.93002           -1.89313E+03
                1.94606           -1.93302E+03
                1.97011           -1.9933E+03 
                2.                -2.06893E+03
                2.                -2.06893E+03
                2.25              -1.53223E+03
                2.5             -996.922      
                2.75            -488.261      
                3.              -875.085E-15  
                3.              -875.085E-15  
                3.00781           11.3154     
                3.01563           15.7824     
                3.02344           19.3484     
                3.03125           22.9734     
                3.04297           27.6395     
                3.06055           32.0443     
                3.08691         -125.095      
                3.09351         -135.833      
                3.1001          -147.452      
                3.10257         -151.807      
                3.1035          -153.448      
                3.10489         -155.916      
                3.10541         -156.825      
                3.10619         -158.177      
                3.10648         -158.683      
                3.10692         -159.375      
                3.10758         -160.196      
                3.10783         -160.311      
                3.10792         -160.314      
                3.10806         -159.041      
                3.10812         -158.676      
                3.10819         -156.079      
                3.10831         -142.078      
                3.10836         -134.786      
                3.10842         -119.504      
                3.10845         -113.119      
                3.10848         -102.151      
                3.10854          -83.3429     
                3.10862          -57.8506     
                3.10875          -32.2731     
                3.10894          -10.4764     
                3.10922            8.19006    
                3.10964           25.1926     
                3.11028           39.6682     
                3.11123           50.9655     
                3.11266           58.3266     
                3.1148            62.1026     
                3.11802           63.4239     
                3.12284           63.3428     
                3.13007           62.8377     
                3.14092           59.5737     
                3.15719           53.4752     
                3.1816            41.7597     
                3.21822           15.8051     
                3.27314          -38.4808     
                3.35552         -149.543      
                3.4791          -370.944      
                3.6041          -648.895      
                3.7291          -974.842      
                3.8541            -1.36005E+03
                3.88535           -1.48343E+03
                3.88828           -1.49781E+03
                3.89267           -1.52459E+03
                3.89432           -1.53897E+03
                3.89494           -1.54432E+03
                3.89586           -1.55775E+03
                3.89621           -1.56282E+03
                3.89673           -1.57648E+03
                3.89693           -1.58159E+03
                3.89722           -1.59511E+03
                3.89766           -1.68115E+03
                3.8981            -1.7217E+03 
                3.89854           -1.74076E+03
                3.8992            -1.7505E+03 
                3.90019           -1.75544E+03
                3.90168           -1.75956E+03
                3.9039            -1.76485E+03
                3.90725           -1.77281E+03
                3.91226           -1.78428E+03
                3.91977           -1.80175E+03
                3.93105           -1.82809E+03
                3.94796           -1.86779E+03
                3.97333           -1.92781E+03
                4.                -1.99149E+03
                4.                -1.99149E+03
                4.25              -1.48884E+03
                4.5             -980.692      
                4.75            -488.244      
                5.                 1.1679E-33 




