
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             6745centroid  

                0.               794.591E-15  
              100.E-03           464.941E-03  
              200.E-03             3.41009    
              300.E-03            11.4791     
              400.E-03            27.3812     
              500.E-03            52.5245     
              600.E-03            85.9729     
              700.E-03           125.695      
              800.E-03           170.17       
              900.E-03           218.713      
                1.               196.967      
                1.               196.967      
                1.00625           91.7651     
                1.0125            57.1882     
                1.01875           45.1772     
                1.025             39.6631     
                1.03437           34.7611     
                1.04844           29.1087     
                1.06953           21.2315     
                1.07151           20.4683     
                1.07225           20.165      
                1.07336           19.6383     
                1.07378           19.4286     
                1.07441           19.0648     
                1.07464           18.9202     
                1.07499           18.6733     
                1.07512           18.576      
                1.07532           18.4145     
                1.07562           18.0976     
                1.07573           17.9646     
                1.07577           17.9124     
                1.07583           17.8273     
                1.07593           17.6718     
                1.07596           17.6086     
                1.07602           17.4877     
                1.07604           17.4367     
                1.07607           17.336      
                1.0761            17.2255     
                1.07613           17.1232     
                1.07617           16.9978     
                1.07624           16.8516     
                1.07634           16.6774     
                1.07649           16.4652     
                1.07671           16.2177     
                1.07705           15.9502     
                1.07756           15.6758     
                1.07832           15.4008     
                1.07947           15.1284     
                1.08118           14.8513     
                1.08375           14.5397     
                1.08761           14.142      
                1.09339           13.5965     
                1.10207           12.8408     
                1.11509           11.8175     
                1.13462           10.486      
                1.16391            8.84568    
                1.20785            6.97148    
                1.27376            5.05617    
                1.37262            3.45713    
                1.47262            2.82021    
                1.57262            2.83954    
                1.67262            3.34057    
                1.77262            4.23387    
                1.87262            5.54901    
                1.87887            5.65609    
                1.88824            5.84342    
                1.89176            5.9277     
                1.89308            5.96296    
                1.89505            6.03038    
                1.8958             6.05945    
                1.89691            6.12365    
                1.89733            6.1528     
                1.89795            6.23306    
                1.89889            6.80887    
                1.89983            7.05295    
                1.90077            7.14653    
                1.90217            7.19268    
                1.90429            7.22563    
                1.90745            7.26615    
                1.91221            7.32566    
                1.91933            7.41521    
                1.93002            7.55051    
                1.94606            7.75567    
                1.97011            8.06827    
                2.                 8.46459    
                2.                 8.46459    
                2.25               7.07287    
                2.5                5.14982    
                2.75               3.27811    
                3.                 1.99919    
                3.                 1.99919    
                3.00781           26.2623     
                3.01563           51.6483     
                3.02344           64.1371     
                3.03125           71.2653     
                3.04297           79.3732     
                3.06055           91.5982     
                3.08691          134.454      
                3.09351          140.953      
                3.1001           147.843      
                3.10257          150.918      
                3.1035           152.191      
                3.10489          154.526      
                3.10541          155.49       
                3.10619          157.249      
                3.10648          157.966      
                3.10692          159.231      
                3.10758          162.157      
                3.10783          163.489      
                3.10792          164.028      
                3.10806          164.905      
                3.10812          165.241      
                3.10819          165.733      
                3.10831          166.135      
                3.10836          166.226      
                3.10842          166.297      
                3.10845          166.312      
                3.10848          166.257      
                3.10854          165.843      
                3.10862          164.588      
                3.10875          161.951      
                3.10894          157.551      
                3.10922          151.435      
                3.10964          144.322      
                3.11028          137.44       
                3.11123          131.985      
                3.11266          128.599      
                3.1148           127.217      
                3.11802          127.331      
                3.12284          128.448      
                3.13007          130.39       
                3.14092          133.293      
                3.15719          137.504      
                3.1816           143.527      
                3.21822          152.027      
                3.27314          163.861      
                3.35552          180.161      
                3.4791           202.51       
                3.6041           223.605      
                3.7291           244.02       
                3.8541           265.189      
                3.88535          271.756      
                3.88828          272.5        
                3.89267          274.018      
                3.89432          274.774      
                3.89494          275.102      
                3.89586          275.809      
                3.89621          276.121      
                3.89673          276.819      
                3.89693          277.127      
                3.89722          277.79       
                3.89766          284.2        
                3.8981           289.237      
                3.89854          292.16       
                3.8992           293.989      
                3.90019          294.852      
                3.90168          295.239      
                3.9039           295.528      
                3.90725          295.896      
                3.91226          296.438      
                3.91977          297.25       
                3.93105          298.466      
                3.94796          300.288      
                3.97333          303.013      
                4.               305.869      
                4.               305.869      
                4.25             297.089      
                4.5              281.78       
                4.75             261.511      
                5.               236.047      




