
                             FromFieldDataUVAR
                             M18atpartinstance
                             PART-1-1element10
                  X             2929centroid  

                0.                 0.         
              100.E-03             0.         
              200.E-03             0.         
              300.E-03             0.         
              400.E-03             0.         
              500.E-03             0.         
              600.E-03             0.         
              700.E-03             0.         
              800.E-03             0.         
              900.E-03             0.         
                1.                 0.         
                1.                 0.         
                1.1                5.90502    
                1.2                2.19803    
                1.3              -11.266      
                1.4              -35.1129     
                1.5              -69.8929     
                1.6             -110.67       
                1.7             -145.869      
                1.8             -166.534      
                1.9             -175.148      
                2.              -186.716      
                2.              -186.716      
                2.1             -167.496      
                2.2             -148.458      
                2.3             -129.615      
                2.4             -110.854      
                2.5              -92.3317     
                2.6              -73.918      
                2.7              -55.5529     
                2.8              -37.1679     
                2.9              -18.6822     
                3.               250.686E-15  
                3.               250.686E-15  
                3.1               20.5182     
                3.2               42.3535     
                3.3               62.2034     
                3.4               76.4247     
                3.5               78.6907     
                3.6               58.927      
                3.7               13.0741     
                3.8              -47.7977     
                3.9              -98.8297     
                4.              -131.885      
                4.              -131.885      
                4.1             -119.955      
                4.2             -107.102      
                4.3              -93.5673     
                4.4              -80.0742     
                4.5              -65.9424     
                4.6              -51.9095     
                4.7              -38.1369     
                4.8              -24.779      
                4.9              -12.0022     
                5.              -204.998E-15  




