
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             0522centroid  

                0.               529.728E-15  
              100.E-03           241.7E-03    
              200.E-03           849.867E-03  
              300.E-03             1.70314    
              400.E-03             2.6964     
              500.E-03             3.73652    
              600.E-03             4.88217    
              700.E-03             6.33226    
              800.E-03             8.21218    
              900.E-03            10.5117     
                1.                12.7748     
                1.                12.7748     
                1.1               13.5481     
                1.2               14.5526     
                1.3               16.143      
                1.4               18.9474     
                1.5               24.0667     
                1.6               32.7037     
                1.7               44.2032     
                1.8               54.3523     
                1.9               59.6592     
                2.                61.6585     
                2.                61.6585     
                2.1               61.709      
                2.2               61.6297     
                2.3               61.4446     
                2.4               61.175      
                2.5               60.9063     
                2.6               60.4468     
                2.7               60.0573     
                2.8               59.5311     
                2.9               59.0125     
                3.                58.451      
                3.                58.451      
                3.1               54.2281     
                3.2               48.9112     
                3.3               42.4912     
                3.4               35.1999     
                3.5               27.4026     
                3.6               20.5241     
                3.7               16.0782     
                3.8               14.0023     
                3.9               13.0932     
                4.                12.6913     
                4.                12.6913     
                4.1               12.6463     
                4.2               12.6031     
                4.3               12.5665     
                4.4               12.5396     
                4.5               12.5235     
                4.6               12.5189     
                4.7               12.5261     
                4.8               12.5349     
                4.9               12.5772     
                5.                12.6226     




