
                             FromFieldDataUVAR
                             M18atpartinstance
                             PART-1-1element10
                  X             1253centroid  

                0.                 0.         
              100.E-03             9.80612    
              200.E-03            38.6657     
              300.E-03            86.0243     
              400.E-03           151.053      
              500.E-03           233.284      
              600.E-03           333.506      
              700.E-03           452.457      
              800.E-03           590.328      
              900.E-03           746.116      
                1.               908.936      
                1.               908.936      
                1.1              909.536      
                1.2              910.199      
                1.3              911.883      
                1.4              914.933      
                1.5              922.22       
                1.6                1.0017E+03 
                1.7              994.694      
                1.8              988.067      
                1.9              986.523      
                2.               985.628      
                2.               985.628      
                2.1              988.663      
                2.2              990.974      
                2.3              993.033      
                2.4              994.162      
                2.5              994.818      
                2.6              994.99       
                2.7              994.679      
                2.8              993.879      
                2.9              992.587      
                3.               990.797      
                3.               990.797      
                3.1              940.933      
                3.2              924.724      
                3.3              914.657      
                3.4              905.999      
                3.5              899.772      
                3.6              896.087      
                3.7              894.943      
                3.8              895.589      
                3.9              896.647      
                4.               897.009      
                4.               897.009      
                4.1              899.949      
                4.2              902.756      
                4.3              905.302      
                4.4              907.694      
                4.5              909.834      
                4.6              911.711      
                4.7              913.322      
                4.8              914.663      
                4.9              915.734      
                5.               916.533      




