
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 16134

                0.                11.         
              250.E-03            10.9        
              500.E-03            10.8        
              750.E-03            10.7        
                1.                10.6        
                1.                10.6        
                1.25              10.4164     
                1.5               10.2738     
                1.75              10.1613     
                2.                10.0708     
                2.                10.0708     
                2.1               10.1048     
                2.2               10.1416     
                2.3               10.1818     
                2.4               10.2257     
                2.5               10.2738     
                2.6               10.3267     
                2.7               10.385      
                2.8               10.4494     
                2.9               10.5208     
                3.                10.6        
                3.1               10.6879     
                3.2               10.7854     
                3.3               10.8933     
                3.4               11.0124     
                3.5               11.1431     
                3.6               11.2856     
                3.7               11.44       
                3.8               11.6058     
                3.9               11.7824     
                4.                11.9688     




