
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 16134

                0.                11.         
              250.E-03            10.897      
              500.E-03            10.7863     
              750.E-03            10.6642     
                1.                10.5272     
                1.                10.5272     
                1.25              10.3584     
                1.5               10.2275     
                1.75              10.1239     
                2.                10.0402     
                2.                10.0402     
                2.1               10.0717     
                2.2               10.1058     
                2.3               10.1428     
                2.4               10.1832     
                2.5               10.2275     
                2.6               10.276      
                2.7               10.3296     
                2.8               10.3887     
                2.9               10.4543     
                3.                10.5272     
                3.1               10.6084     
                3.2               10.6989     
                3.3               10.7997     
                3.4               10.9118     
                3.5               11.0362     
                3.6               11.1732     
                3.7               11.3232     
                3.8               11.486      
                3.9               11.661      
                4.                11.8474     




