
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 1236 

                0.                 2.         
              500.E-03             1.8        
                1.                 1.6        
                1.                 1.6        
                1.25               1.41638    
                1.5                1.27378    
                1.75               1.16128    
                2.                 1.07082    
                2.                 1.07082    
                2.1                1.10477    
                2.2                1.14164    
                2.3                1.1818     
                2.4                1.22568    
                2.5                1.27378    
                2.6                1.32666    
                2.7                1.38497    
                2.8                1.44942    
                2.9                1.52081    
                3.                 1.6        
                3.1                1.68789    
                3.2                1.78537    
                3.3                1.89329    
                3.4                2.01235    
                3.5                2.14306    
                3.6                2.28564    
                3.7                2.44003    
                3.8                2.60583    
                3.9                2.78239    
                4.                 2.96883    




