
                             COORD:COOR3 PI: P
                  X          ART-1-1 N: 1236_2

                0.                 2.         
              500.E-03             2.2        
                1.                 2.4        
                1.                 2.4        
                1.25               2.26876    
                1.5                2.15179    
                1.75               2.04733    
                2.                 1.95379    
                2.                 1.95379    
                2.1                1.98999    
                2.2                2.0278     
                2.3                2.0673     
                2.4                2.10859    
                2.5                2.15179    
                2.6                2.19698    
                2.7                2.24428    
                2.8                2.29381    
                2.9                2.34568    
                3.                 2.4        
                3.1                2.4569     
                3.2                2.5165     
                3.3                2.57891    
                3.4                2.64425    
                3.5                2.71264    
                3.6                2.78417    
                3.7                2.85894    
                3.8                2.93703    
                3.9                3.01852    
                4.                 3.10347    




